Customer_id,Customer_name,City,Signup_Time,Acquisition_channel
C00002,Rohan Agarwal,Delhi,06/05/2024,Organic
C00003,Priya Verma,Hyderabad,13/10/2025,Instagram Ads
C00004,Neha Singh,Mumbai,06/02/2024,WhatsApp Campaign
C00005,Amit Kumar,Noida,08/11/2024,Referral
C00006,Rohan Agarwal,Chennai,04/06/2024,Instagram Ads
C00007,Priya Verma,Pune,12/02/2024,Organic
C00008,Ananya Mishra,Bengaluru,29/01/2025,Instagram Ads
C00009,Rahul Sharma,Mumbai,28/04/2025,WhatsApp Campaign
C00010,Neha Singh,Pune,20/08/2025,WhatsApp Campaign
C00011,Priya Verma,Pune,01/04/2024,Referral
C00012,Priya Verma,Bengaluru,03/04/2025,WhatsApp Campaign
C00013,Rohan Agarwal,Noida,16/01/2025,WhatsApp Campaign
C00014,Neha Singh,Chennai,22/04/2025,Referral
C00015,Amit Kumar,Delhi,29/08/2025,WhatsApp Campaign
C00016,Rohan Agarwal,Bengaluru,23/06/2025,Instagram Ads
C00017,Rahul Sharma,Mumbai,19/01/2025,Referral
C00018,Priya Verma,Bengaluru,08/03/2024,Referral
C00019,Amit Kumar,Pune,15/11/2025,Instagram Ads
C00020,Arjun Gupta,Chennai,23/04/2024,Referral
C00021,Arjun Gupta,Noida,16/04/2025,Google Ads
C00022,Amit Kumar,Chennai,08/11/2025,Google Ads
C00023,Rahul Sharma,Pune,09/10/2024,Organic
C00024,Arjun Gupta,Mumbai,23/07/2024,Organic
C00025,Priya Verma,Pune,13/03/2024,WhatsApp Campaign
C00026,Sneha Patel,Pune,16/02/2024,Instagram Ads
C00027,Ananya Mishra,Gurugram,23/11/2024,Instagram Ads
C00028,Arjun Gupta,Pune,24/09/2025,Organic
C00029,Ananya Mishra,Gurugram,14/05/2025,Referral
C00030,Amit Kumar,Hyderabad,28/06/2025,Instagram Ads
C00031,Rahul Sharma,Mumbai,19/05/2025,Google Ads
C00032,Rohan Agarwal,Noida,22/03/2025,Referral
C00033,Neha Singh,Delhi,21/03/2024,Referral
C00034,Sneha Patel,Mumbai,13/03/2025,Google Ads
C00035,Arjun Gupta,Mumbai,03/06/2024,WhatsApp Campaign
C00036,Sneha Patel,Noida,23/02/2024,Google Ads
C00037,Amit Kumar,Bengaluru,26/09/2024,Google Ads
C00038,Sneha Patel,Gurugram,20/09/2024,Referral
C00039,Sneha Patel,Chennai,08/11/2024,Google Ads
C00040,Sneha Patel,Pune,05/07/2025,Referral
C00041,Sneha Patel,Mumbai,25/06/2024,Instagram Ads
C00042,Priya Verma,Noida,29/04/2025,Referral
C00043,Amit Kumar,Mumbai,26/05/2024,WhatsApp Campaign
C00044,Rohan Agarwal,Delhi,09/04/2024,Referral
C00045,Neha Singh,Pune,09/08/2025,Instagram Ads
C00046,Ananya Mishra,Noida,28/08/2024,Instagram Ads
C00047,Sneha Patel,Delhi,22/04/2024,WhatsApp Campaign
C00048,Neha Singh,Pune,16/11/2025,WhatsApp Campaign
C00049,Sneha Patel,Pune,13/10/2025,Referral
C00050,Arjun Gupta,Mumbai,10/06/2024,Referral
C00051,Amit Kumar,Chennai,06/03/2024,Google Ads
C00052,Amit Kumar,Gurugram,20/07/2024,WhatsApp Campaign
C00053,Priya Verma,Gurugram,18/05/2025,Referral
C00054,Neha Singh,Hyderabad,02/12/2024,Instagram Ads
C00055,Rahul Sharma,Delhi,15/09/2025,Organic
C00056,Priya Verma,Bengaluru,04/03/2024,Referral
C00057,Sneha Patel,Delhi,30/09/2024,Instagram Ads
C00058,Amit Kumar,Mumbai,01/02/2024,Instagram Ads
C00059,Sneha Patel,Hyderabad,01/11/2024,Referral
C00060,Neha Singh,Hyderabad,22/03/2025,Instagram Ads
C00061,Arjun Gupta,Pune,07/11/2025,Google Ads
C00062,Sneha Patel,Delhi,05/04/2025,Referral
C00063,Ananya Mishra,Pune,22/07/2025,Google Ads
C00064,Neha Singh,Chennai,17/04/2024,Instagram Ads
C00065,Amit Kumar,Mumbai,24/01/2024,WhatsApp Campaign
C00066,Ananya Mishra,Noida,13/10/2024,Organic
C00067,Rohan Agarwal,Hyderabad,20/10/2024,Google Ads
C00068,Arjun Gupta,Noida,28/10/2024,WhatsApp Campaign
